algorithm,topology,churn_rate,trial,n_initial,n_rounds,leader_changes,re_elections,avg_alive,avg_lqs,lqs_std
Fitness,random,0.2,9,20,50,5,5,14.92,0.9239037213909705,0.0
Bully,random,0.2,9,20,50,4,4,14.92,0.9512566828168739,1.1102230246251565e-16
Random,random,0.2,9,20,50,2,2,14.92,0.8068456226771729,0.0
HighBattery,random,0.2,9,20,50,5,5,14.92,1.0,0.0
MostConnected,random,0.2,9,20,50,4,4,14.92,0.8068456226771729,0.0
Raft,random,0.2,9,20,50,7,7,14.92,0.8068456226771729,0.0
Fitness,geometric,0.2,0,20,50,2,2,15.54,0.5680533211849975,0.0
Bully,geometric,0.2,0,20,50,2,2,15.54,0.6488490915885705,1.1102230246251565e-16
Random,geometric,0.2,0,20,50,3,3,15.54,0.9507198309979473,1.1102230246251565e-16
HighBattery,geometric,0.2,0,20,50,4,4,15.54,1.0,0.0
MostConnected,geometric,0.2,0,20,50,2,2,15.54,0.5680533211849975,0.0
Raft,geometric,0.2,0,20,50,4,4,15.54,0.5680533211849975,0.0
Fitness,geometric,0.2,1,20,50,4,4,11.08,0.8212178917426245,1.1102230246251565e-16
Bully,geometric,0.2,1,20,50,0,0,11.08,0.6949206970312565,0.0
Random,geometric,0.2,1,20,50,3,3,11.08,0.8328159013912595,2.220446049250313e-16
HighBattery,geometric,0.2,1,20,50,4,4,11.08,0.7572179650470546,0.0
MostConnected,geometric,0.2,1,20,50,3,3,11.08,0.8212178917426245,1.1102230246251565e-16
Raft,geometric,0.2,1,20,50,1,1,11.08,0.6949206970312565,0.0
Fitness,geometric,0.2,2,20,50,3,3,11.22,0.9859266317737075,1.1102230246251565e-16
Bully,geometric,0.2,2,20,50,2,2,11.22,0.6639872769857863,0.0
Random,geometric,0.2,2,20,50,4,4,11.22,0.8270812601532187,2.220446049250313e-16
HighBattery,geometric,0.2,2,20,50,3,3,11.22,0.9859266317737075,1.1102230246251565e-16
MostConnected,geometric,0.2,2,20,50,4,4,11.22,0.9859266317737075,1.1102230246251565e-16
Raft,geometric,0.2,2,20,50,3,3,11.22,0.9859266317737075,1.1102230246251565e-16
Fitness,geometric,0.2,3,20,50,4,4,12.14,0.9377077130473828,0.0
Bully,geometric,0.2,3,20,50,3,3,12.14,1.0,0.0
Random,geometric,0.2,3,20,50,5,5,12.14,0.6400373600097773,0.0
HighBattery,geometric,0.2,3,20,50,3,3,12.14,0.7526043363982236,0.0
MostConnected,geometric,0.2,3,20,50,3,3,12.14,0.6400373600097773,0.0
Raft,geometric,0.2,3,20,50,5,5,12.14,0.9550971233534747,1.1102230246251565e-16
Fitness,geometric,0.2,4,20,50,5,5,21.38,0.9827549225368079,1.1102230246251565e-16
Bully,geometric,0.2,4,20,50,2,2,21.38,0.833697838906766,0.0
